22.3,0,0.6,0.65,15.3,8.3,1.205
21.2,0,0.4,0.69,15.2,8.8,1.14
21.5,0,0.7,0.71,16,9.2,1.049
22.6,0,0.5,0.67,16.1,9.4,1.05
23.8,0,0.9,0.68,17.5,9.2,0.681
26.7,0,0.9,0.55,16.9,8.7,0.502
28.1,0,1.3,0.48,16,8.3,1.145
29.8,0,2,0.38,13.9,8.1,2.716
31.6,0,2.1,0.36,14.7,7.8,1.924
32,0,1.8,0.38,15.8,7,1.835
33.5,0,1.6,0.38,17.2,6.3,1.981
33.2,0,2.5,0.35,15.6,5.9,1.888
34,0,2.1,0.31,14.4,5.4,2.263
33.6,0,1.3,0.35,16,5.3,2.057
32.3,0,2.5,0.37,15.7,5.2,1.841
31.1,0,2.6,0.39,15.5,5.5,1.91
28.7,0,2.4,0.38,12.9,6,2.196
28,0,1,0.38,12.3,6.8,2.403
27.3,0,0.3,0.4,12.5,7.1,2.222
26,0,1.4,0.43,12.4,7.3,2.291
25.5,0,0.6,0.44,12.3,7.4,2.159
25.5,0,0.2,0.44,12.3,6.9,2.142
24.5,0,0.6,0.5,13.3,6.7,2.148
24.2,0,0.4,0.52,13.7,6.3,2.096
22.9,0,1,0.57,13.9,6.2,1.429
22.7,0,0.5,0.61,14.7,6,1.427
22.7,0,0.8,0.62,15,6,1.267
23.3,0,0.5,0.61,15.3,6,1.119
25.1,0,1.3,0.58,16.2,5.4,0.9
27.2,0,1,0.52,16.4,4.8,0.846
28,0,1.2,0.44,14.6,4.1,1.643
29.6,0,1.4,0.43,15.6,3.3,1.043
31.2,0,1.6,0.4,15.9,2.4,1.276
32.1,0,1.8,0.39,16.3,1.5,1.511
32.6,0,1.4,0.37,16,0.3,2.453
33.8,0,1.7,0.36,16.6,-0.6,3.185
32.9,0,1.7,0.39,17.1,-1.3,2.851
32.7,0,2,0.4,17.3,-1.9,2.582
31.8,0,2.4,0.44,18,-2.1,2.555
24.3,4.2,1.3,0.87,21.9,-0.4,0.825
23.6,9.5,1.7,0.89,21.6,0.3,0.32
23,9.8,2.2,0.91,21.4,0.1,0.255
22.5,12.3,2.1,0.91,20.9,0.4,0.395
22,13.3,2.7,0.93,20.8,-0.3,0.307
22.1,10.7,2.1,0.93,20.9,-0.8,0.45
22.1,4.5,0.8,0.92,20.7,-1.5,0.901
21.7,0.5,1.1,0.9,19.9,-2.1,2.128
21.6,0,1.2,0.88,19.5,-2.3,2.448
21.5,0,0.5,0.88,19.4,-2.6,1.235
